PLAYER_NAME,TEAM_ID,POSITION_NAME,POSITION_DISPLAY_NAME,RAW_STAT,MAPPED_STAT,RAW_LINE,LINE
CoD: Lunarz,1a6feecd-fedd-4a0b-8250-b71ee0a81517,Gamer,Gamer,kills_on_game_3,,22.5,22.5
CoD: Lunarz,1a6feecd-fedd-4a0b-8250-b71ee0a81517,Gamer,Gamer,kills_on_game_1_2_3,,53.5,53.5
CoD: SupeR,18499509-922b-4031-a224-d57fbb2661b6,Gamer,Gamer,kills_on_game_1_2_3,,56.5,56.5
CoD: KISMET,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_1,,26.5,26.5
CoD: KISMET,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_2,,6.5,6.5
CoD: KISMET,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_3,,23.5,23.5
CoD: KISMET,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_1_2_3,,55.5,55.5
CoD: Exnid,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,fantasy_points_on_games_1_2_3,,60.5,60.5
CoD: Exnid,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_1,,27.5,27.5
CoD: Exnid,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_2,,6.5,6.5
CoD: Exnid,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_3,,24.5,24.5
CoD: Exnid,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_1_2_3,,59.5,59.5
CoD: CELLIUM,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,fantasy_points_on_games_1_2_3,,63.5,63.5
CoD: CELLIUM,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_1,,26.5,26.5
CoD: CELLIUM,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_2,,6.5,6.5
CoD: CELLIUM,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_3,,24.5,24.5
CoD: CELLIUM,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_1_2_3,,56.5,56.5
CoD: Alluka,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,fantasy_points_on_games_1_2_3,,67.5,67.5
CoD: Alluka,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_1,,28.5,28.5
CoD: Alluka,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_2,,7.5,7.5
CoD: Alluka,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_3,,24.5,24.5
CoD: Alluka,d15f0905-e185-4ee3-b905-bbd8ab61c158,Gamer,Gamer,kills_on_game_1_2_3,,60.5,60.5
nacho,af6dc620-86e8-4acb-b390-bc042c34be2e,Gamer,Gamer,kills_on_maps_1_2,,28.5,28.5
nacho,af6dc620-86e8-4acb-b390-bc042c34be2e,Gamer,Gamer,headshots_on_maps_1_2,,16.5,16.5
cass1n,af6dc620-86e8-4acb-b390-bc042c34be2e,Gamer,Gamer,kills_on_maps_1_2,,29.5,29.5
tomaszin,af6dc620-86e8-4acb-b390-bc042c34be2e,Gamer,Gamer,kills_on_maps_1_2,,33.5,33.5
tomaszin,af6dc620-86e8-4acb-b390-bc042c34be2e,Gamer,Gamer,headshots_on_maps_1_2,,17.5,17.5
buda,af6dc620-86e8-4acb-b390-bc042c34be2e,Gamer,Gamer,kills_on_maps_1_2,,29.5,29.5
buda,af6dc620-86e8-4acb-b390-bc042c34be2e,Gamer,Gamer,headshots_on_maps_1_2,,15.5,15.5
tom1jed,b39ed654-888d-40ab-ba60-4ff63be8c61b,Gamer,Gamer,kills_on_maps_1_2,,29.5,29.5
tom1jed,b39ed654-888d-40ab-ba60-4ff63be8c61b,Gamer,Gamer,headshots_on_maps_1_2,,19.5,19.5
ivz,b39ed654-888d-40ab-ba60-4ff63be8c61b,Gamer,Gamer,kills_on_maps_1_2,,28.5,28.5
ivz,b39ed654-888d-40ab-ba60-4ff63be8c61b,Gamer,Gamer,headshots_on_maps_1_2,,10.5,10.5
abizz,b39ed654-888d-40ab-ba60-4ff63be8c61b,Gamer,Gamer,kills_on_maps_1_2,,27.5,27.5
abizz,b39ed654-888d-40ab-ba60-4ff63be8c61b,Gamer,Gamer,headshots_on_maps_1_2,,15.5,15.5
naz,b39ed654-888d-40ab-ba60-4ff63be8c61b,Gamer,Gamer,kills_on_maps_1_2,,28.5,28.5
naz,b39ed654-888d-40ab-ba60-4ff63be8c61b,Gamer,Gamer,headshots_on_maps_1_2,,18.5,18.5
timo,af6dc620-86e8-4acb-b390-bc042c34be2e,Gamer,Gamer,kills_on_maps_1_2,,28.5,28.5
timo,af6dc620-86e8-4acb-b390-bc042c34be2e,Gamer,Gamer,headshots_on_maps_1_2,,17.5,17.5
guty,b39ed654-888d-40ab-ba60-4ff63be8c61b,Gamer,Gamer,kills_on_maps_1_2,,28.5,28.5
guty,b39ed654-888d-40ab-ba60-4ff63be8c61b,Gamer,Gamer,headshots_on_maps_1_2,,17.5,17.5
Momochi,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,1.5,1.5
Kaze,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,8.5,8.5
Peach,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,5.5,5.5
Zothve,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,5.5,5.5
BAO,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,8.5,8.5
cody,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,6.5,6.5
Xyno,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,5.5,5.5
Rabelo,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,7.5,7.5
Sinatra,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,5.5,5.5
Sinatra,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,9.5,9.5
Sinatra,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,12.5,12.5
Kaze,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,13.5,13.5
BAO,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,15.5,15.5
BAO,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,12.5,12.5
Xyno,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,11.5,11.5
Xyno,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,8.5,8.5
Rabelo,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,11.5,11.5
Rabelo,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,14.5,14.5
uZent,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,kills_on_maps_1_2,,2.5,2.5
Zothve,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,8.5,8.5
cody,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,12.5,12.5
Zothve,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,11.5,11.5
cody,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,9.5,9.5
Peach,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,kills_on_maps_1_2,,10.5,10.5
Zothve,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,assists_on_maps_1_2,,9.5,9.5
cody,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,assists_on_maps_1_2,,12.5,12.5
Xyno,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,assists_on_maps_1_2,,12.5,12.5
Momochi,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,assists_on_maps_1_2,,19.5,19.5
Sinatra,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,assists_on_maps_1_2,,14.5,14.5
Kaze,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,assists_on_maps_1_2,,12.5,12.5
uZent,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,assists_on_maps_1_2,,21.5,21.5
Rabelo,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,assists_on_maps_1_2,,11.5,11.5
Peach,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,assists_on_maps_1_2,,15.5,15.5
BAO,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,assists_on_maps_1_2,,10.5,10.5
BAO,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,period_1_2_fantasy_points,,57.71,57.71
Kaze,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,period_1_2_fantasy_points,,56.91,56.91
Xyno,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,period_1_2_fantasy_points,,52.17,52.17
Rabelo,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,period_1_2_fantasy_points,,57.09,57.09
uZent,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,period_1_2_fantasy_points,,47.31,47.31
Sinatra,b44c6227-42c4-4fea-abae-c97b9fc2aff0,Gamer,Gamer,period_1_2_fantasy_points,,54.78,54.78
