PLAYER_NAME,TEAM,HITTER_ID,STAT,LINE,PROJECTION,EDGE,CONFIDENCE,PICK
Aaron Judge,New York Yankees,592450,HIT,0.5,0.85,0.35,35,OVER
Juan Soto,New York Mets,665742,HIT,0.5,0.73,0.23,23,OVER
Jung Hoo Lee,San Francisco Giants,808982,HIT,0.5,0.7,0.2,20,OVER
